director,stars
Frank Darabont,"('Tim Robbins',), ('Morgan Freeman',), ('Bob Gunton',), ('William Sadler',)"
Christopher Nolan,"('Christian Bale',), ('Heath Ledger',), ('Aaron Eckhart',), ('Michael Caine',)"
Christopher Nolan,"('Leonardo DiCaprio',), ('Joseph Gordon-Levitt',), ('Elliot Page',), ('Ken Watanabe',)"
David Fincher,"('Brad Pitt',), ('Edward Norton',), ('Meat Loaf',), ('Zach Grenier',)"
Quentin Tarantino,"('John Travolta',), ('Uma Thurman',), ('Samuel L. Jackson',), ('Bruce Willis',)"
Robert Zemeckis,"('Tom Hanks',), ('Robin Wright',), ('Gary Sinise',), ('Sally Field',)"
Peter Jackson,"('Elijah Wood',), ('Ian McKellen',), ('Orlando Bloom',), ('Sean Bean',)"
Lana Wachowski,"('Lilly Wachowski',), ('Keanu Reeves',), ('Laurence Fishburne',), ('Carrie-Anne Moss',)"
Peter Jackson,"('Elijah Wood',), ('Viggo Mortensen',), ('Ian McKellen',), ('Orlando Bloom',)"
Francis Ford Coppola,"('Marlon Brando',), ('Al Pacino',), ('James Caan',), ('Diane Keaton',)"
Christopher Nolan,"('Christian Bale',), ('Tom Hardy',), ('Anne Hathaway',), ('Gary Oldman',)"
Peter Jackson,"('Elijah Wood',), ('Ian McKellen',), ('Viggo Mortensen',), ('Orlando Bloom',)"
David Fincher,"('Morgan Freeman',), ('Brad Pitt',), ('Kevin Spacey',), ('Andrew Kevin Walker',)"
Joss Whedon,"('Robert Downey Jr.',), ('Chris Evans',), ('Scarlett Johansson',), ('Jeremy Renner',)"
Ridley Scott,"('Russell Crowe',), ('Joaquin Phoenix',), ('Connie Nielsen',), ('Oliver Reed',)"
Christopher Nolan,"('Christian Bale',), ('Michael Caine',), ('Ken Watanabe',), ('Liam Neeson',)"
Quentin Tarantino,"('Jamie Foxx',), ('Christoph Waltz',), ('Leonardo DiCaprio',), ('Kerry Washington',)"
Christopher Nolan,"('Matthew McConaughey',), ('Anne Hathaway',), ('Jessica Chastain',), ('Mackenzie Foy',)"
George Lucas,"('Mark Hamill',), ('Harrison Ford',), ('Carrie Fisher',), ('Alec Guinness',)"
Jonathan Demme,"('Jodie Foster',), ('Anthony Hopkins',), ('Lawrence A. Bonney',), ('Kasi Lemmons',)"
James Cameron,"('Sam Worthington',), ('Zoe Saldana',), ('Sigourney Weaver',), ('Michelle Rodriguez',)"
Quentin Tarantino,"('Brad Pitt',), ('Diane Kruger',), ('Eli Roth',), ('Mélanie Laurent',)"
Steven Spielberg,"('Tom Hanks',), ('Matt Damon',), ('Tom Sizemore',), ('Edward Burns',)"
Martin Scorsese,"('Leonardo DiCaprio',), ('Matt Damon',), ('Jack Nicholson',), ('Mark Wahlberg',)"
Steven Spielberg,"('Liam Neeson',), ('Ralph Fiennes',), ('Ben Kingsley',), ('Caroline Goodall',)"
Christopher Nolan,"('Guy Pearce',), ('Carrie-Anne Moss',), ('Joe Pantoliano',), ('Mark Boone Junior',)"
Christopher Nolan,"('Christian Bale',), ('Hugh Jackman',), ('Scarlett Johansson',), ('Michael Caine',)"
Irvin Kershner,"('Mark Hamill',), ('Harrison Ford',), ('Carrie Fisher',), ('Billy Dee Williams',)"
Sam Mendes,"('Kevin Spacey',), ('Annette Bening',), ('Thora Birch',), ('Wes Bentley',)"
Gore Verbinski,"('Johnny Depp',), ('Geoffrey Rush',), ('Orlando Bloom',), ('Keira Knightley',)"
James Cameron,"('Leonardo DiCaprio',), ('Kate Winslet',), ('Billy Zane',), ('Kathy Bates',)"
James McTeigue,"('Hugo Weaving',), ('Natalie Portman',), ('Rupert Graves',), ('Stephen Rea',)"
Francis Ford Coppola,"('Al Pacino',), ('Robert De Niro',), ('Robert Duvall',), ('Diane Keaton',)"
Martin Scorsese,"('Leonardo DiCaprio',), ('Emily Mortimer',), ('Mark Ruffalo',), ('Ben Kingsley',)"
Tony Kaye,"('Edward Norton',), ('Edward Furlong',), (""Beverly D'Angelo"",), ('Jennifer Lien',)"
Frank Darabont,"('Tom Hanks',), ('Michael Clarke Duncan',), ('David Morse',), ('Bonnie Hunt',)"
Martin Scorsese,"('Leonardo DiCaprio',), ('Jonah Hill',), ('Margot Robbie',), ('Matthew McConaughey',)"
James Cameron,"('Arnold Schwarzenegger',), ('Linda Hamilton',), ('Edward Furlong',), ('Robert Patrick',)"
Bryan Singer,"('Kevin Spacey',), ('Gabriel Byrne',), ('Chazz Palminteri',), ('Stephen Baldwin',)"
Mel Gibson,"('Mel Gibson',), ('Sophie Marceau',), ('Patrick McGoohan',), ('Angus Macfadyen',)"
Quentin Tarantino,"('Uma Thurman',), ('David Carradine',), ('Daryl Hannah',), ('Michael Madsen',)"
Robert Zemeckis,"('Michael J. Fox',), ('Christopher Lloyd',), ('Lea Thompson',), ('Crispin Glover',)"
Martin Scorsese,"('Robert De Niro',), ('Ray Liotta',), ('Joe Pesci',), ('Lorraine Bracco',)"
Luc Besson,"('Jean Reno',), ('Gary Oldman',), ('Natalie Portman',), ('Danny Aiello',)"
Andrew Stanton,"('Ben Burtt',), ('Elissa Knight',), ('Jeff Garlin',), ('Fred Willard',)"
M. Night Shyamalan,"('Bruce Willis',), ('Haley Joel Osment',), ('Toni Collette',), ('Olivia Williams',)"
Gary Ross,"('Jennifer Lawrence',), ('Josh Hutcherson',), ('Liam Hemsworth',), ('Stanley Tucci',)"
Jon Favreau,"('Robert Downey Jr.',), ('Gwyneth Paltrow',), ('Terrence Howard',), ('Jeff Bridges',)"
Andrew Stanton,"('Lee Unkrich',), ('Albert Brooks',), ('Ellen DeGeneres',), ('Alexander Gould',)"
Richard Marquand,"('Mark Hamill',), ('Harrison Ford',), ('Carrie Fisher',), ('Billy Dee Williams',)"
Milos Forman,"('Jack Nicholson',), ('Louise Fletcher',), ('Michael Berryman',), ('Peter Brocco',)"
James Gunn,"('Chris Pratt',), ('Vin Diesel',), ('Bradley Cooper',), ('Zoe Saldana',)"
Peter Weir,"('Jim Carrey',), ('Ed Harris',), ('Laura Linney',), ('Noah Emmerich',)"
Michel Gondry,"('Jim Carrey',), ('Kate Winslet',), ('Tom Wilkinson',), ('Gerry Robert Byrne',)"
Pete Docter,"('Bob Peterson',), ('Edward Asner',), ('Jordan Nagai',), ('John Ratzenberger',)"
Quentin Tarantino,"('Harvey Keitel',), ('Tim Roth',), ('Michael Madsen',), ('Chris Penn',)"
Steven Spielberg,"('Harrison Ford',), ('Karen Allen',), ('Paul Freeman',), ('John Rhys-Davies',)"
Frank Miller,"('Quentin Tarantino',), ('Robert Rodriguez',), ('Mickey Rourke',), ('Clive Owen',)"
Roger Allers,"('Rob Minkoff',), ('Matthew Broderick',), ('Jeremy Irons',), ('James Earl Jones',)"
Danny Boyle,"('Loveleen Tandan',), ('Dev Patel',), ('Freida Pinto',), ('Saurabh Shukla',)"
Peter Jackson,"('Martin Freeman',), ('Ian McKellen',), ('Richard Armitage',), ('Andy Serkis',)"
John Lasseter,"('Tom Hanks',), ('Tim Allen',), ('Don Rickles',), ('Jim Varney',)"
Steven Spielberg,"('Sam Neill',), ('Laura Dern',), ('Jeff Goldblum',), ('Richard Attenborough',)"
Ethan Coen,"('Joel Coen',), ('Tommy Lee Jones',), ('Javier Bardem',), ('Josh Brolin',)"
Ron Howard,"('Russell Crowe',), ('Ed Harris',), ('Jennifer Connelly',), ('Christopher Plummer',)"
Stanley Kubrick,"('Jack Nicholson',), ('Shelley Duvall',), ('Danny Lloyd',), ('Scatman Crothers',)"
Zack Snyder,"('Gerard Butler',), ('Lena Headey',), ('David Wenham',), ('Dominic West',)"
Gus Van Sant,"('Robin Williams',), ('Matt Damon',), ('Ben Affleck',), ('Stellan Skarsgård',)"
Guy Ritchie,"('Jason Statham',), ('Brad Pitt',), ('Stephen Graham',), ('Vinnie Jones',)"
James Cameron,"('Arnold Schwarzenegger',), ('Linda Hamilton',), ('Michael Biehn',), ('Paul Winfield',)"
John McTiernan,"('Bruce Willis',), ('Alan Rickman',), ('Bonnie Bedelia',), ('Reginald VelJohnson',)"
Pete Docter,"('David Silverman',), ('Lee Unkrich',), ('Billy Crystal',), ('John Goodman',)"
Todd Phillips,"('Zach Galifianakis',), ('Bradley Cooper',), ('Justin Bartha',), ('Ed Helms',)"
Alfonso Cuarón,"('Sandra Bullock',), ('George Clooney',), ('Ed Harris',), ('Orto Ignatiussen',)"
Richard Kelly,"('Jake Gyllenhaal',), ('Jena Malone',), ('Mary McDonnell',), ('Holmes Osborne',)"
Darren Aronofsky,"('Ellen Burstyn',), ('Jared Leto',), ('Jennifer Connelly',), ('Marlon Wayans',)"
David Fincher,"('Ben Affleck',), ('Rosamund Pike',), ('Neil Patrick Harris',), ('Tyler Perry',)"
Ridley Scott,"('Sigourney Weaver',), ('Tom Skerritt',), ('John Hurt',), ('Veronica Cartwright',)"
J.J. Abrams,"('Daisy Ridley',), ('John Boyega',), ('Oscar Isaac',), ('Domhnall Gleeson',)"
Clint Eastwood,"('Clint Eastwood',), ('Bee Vang',), ('Christopher Carley',), ('Ahney Her',)"
Stanley Kubrick,"('Malcolm McDowell',), ('Patrick Magee',), ('Michael Bates',), ('Warren Clarke',)"
Shane Black,"('Robert Downey Jr.',), ('Guy Pearce',), ('Gwyneth Paltrow',), ('Don Cheadle',)"
Darren Aronofsky,"('Natalie Portman',), ('Mila Kunis',), ('Vincent Cassel',), ('Winona Ryder',)"
George Miller,"('Tom Hardy',), ('Charlize Theron',), ('Nicholas Hoult',), ('Zoë Kravitz',)"
Zack Snyder,"('Henry Cavill',), ('Amy Adams',), ('Michael Shannon',), ('Diane Lane',)"
Sam Raimi,"('Tobey Maguire',), ('Kirsten Dunst',), ('Willem Dafoe',), ('James Franco',)"
Lee Unkrich,"('Tom Hanks',), ('Tim Allen',), ('Joan Cusack',), ('Ned Beatty',)"
