,math1,physics1,statics,history,rights,drawing1,production,math2,physics2,drawing2,dynamics,chemistry,topics,seat
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
1,63,53,38,32,32,64,81,64,64,64,43,51,48,2.0
2,45,61,49,38,42,61,98,49,71,68,42,73,58,3.0
3,46,59,36,38,40,69,75,47,29,65,25,75,73,4.0
4,70,76,56,44,43,85,97,84,85,79,61,77,56,5.0
5,70,78,52,38,41,89,90,72,77,70,42,80,67,6.0
6,47,56,34,30,41,75,65,41,22,49,32,57,40,7.0
7,34,64,30,32,31,70,68,54,41,64,34,54,46,8.0
8,75,,50,33,25,,,,,,,,48,9.0
9,73,61,53,42,46,70,89,67,92,65,59,79,75,10.0
10,84,91,60,39,38,67,86,80,88,68,59,75,67,11.0
11,53,61,30,25,42,76,72,56,36,66,30,66,60,12.0
12,86,82,57,45,44,92,103,82,88,80,51,85,69,13.0
13,77,92,49,39,45,88,111,72,91,77,38,84,71,14.0
14,69,71,39,33,41,70,66,48,60,73,42,78,54,15.0
15,50,69,37,34,46,70,66,44,32,60,34,65,62,16.0
16,75,93,57,47,43,78,105,79,91,87,53,82,60,17.0
17,78,84,52,32,43,77,76,61,62,79,45,79,68,18.0
18,74,92,50,37,46,82,102,64,74,68,44,78,60,19.0
19,73,77,47,29,42,79,68,67,62,61,40,75,71,20.0
20,67,77,61,35,41,75,72,71,72,72,38,72,62,21.0
21,50,56,35,38,42,75,70,43,78,46,40,70,66,22.0
22,45,55,35,29,43,79,58,45,57,65,36,59,71,23.0
23,50,51,28,32,27,64,76,16,50,64,37,69,59,24.0
24,29,65,17,23,14,16,47,35,62,33,22,65,55,25.0
25,61,60,42,28,29,50,68,70,55,42,26,62,66,26.0
26,79,77,35,36,43,76,76,,,,,,,27.0
27,62,66,50,25,36,80,81,59,83,83,40,74,64,28.0
28,,,,,,,,,,,,,,29.0
29,62,63,40,39,41,75,81,56,76,74,47,66,62,30.0
30,,76,18,32,32,60,,,,,,,,31.0
31,68,79,67,37,42,83,102,65,66,85,41,76,57,32.0
32,71,80,55,39,36,58,67,57,81,62,55,76,67,33.0
33,,,,,,,,,,,,,,34.0
34,67,73,44,39,46,69,81,69,65,74,37,75,54,35.0
35,59,58,46,42,40,72,88,62,33,56,33,60,70,36.0
36,74,81,59,45,36,80,90,83,91,76,61,76,63,37.0
37,89,85,58,42,48,91,107,70,93,71,67,83,68,38.0
38,55,62,56,40,35,77,89,,,,,,,39.0
39,,,,,,,,,,,,,,40.0
40,71,74,51,37,39,76,81,62,54,66,47,77,61,41.0
41,,,,,,,,,,,,,,42.0
42,57,59,39,35,36,65,73,55,61,72,41,64,51,43.0
43,59,70,60,36,36,85,92,61,67,82,48,73,72,44.0
44,57,70,47,43,44,75,77,66,85,69,51,62,42,45.0
45,67,80,45,39,46,59,69,69,82,76,56,72,75,46.0
46,,,,,,,,,,,,,,47.0
47,71,60,60,47,42,81,87,83,85,85,54,64,70,48.0
48,52,74,34,40,47,63,53,46,68,55,32,69,54,49.0
49,45,56,48,34,27,65,65,16,51,35,23,69,58,50.0
50,59,89,56,41,44,65,83,78,96,77,62,78,68,51.0
51,45,70,34,35,40,61,61,41,46,59,45,63,55,52.0
52,64,76,54,30,40,77,83,71,84,60,54,77,60,53.0
53,71,76,47,42,43,78,66,71,82,67,45,75,64,54.0
54,50,56,24,28,44,85,57,,,,,,,55.0
55,66,60,41,36,47,85,82,78,82,87,50,77,58,56.0
56,30,20,15,30,30,41,35,46,25,49,9,51,48,57.0
57,74,91,59,42,37,78,89,76,84,69,55,77,66,58.0
58,71,70,41,40,35,61,77,72,63,65,44,64,73,59.0
59,,,,,,,,,,,,,,60.0
60,,,,,,,,,,,,,,61.0
61,92,94,61,40,40,82,103,92,97,78,59,85,68,62.0
